id,funding_round_id,funded_object_id,investor_object_id,,
1,1,c:4,f:1,,
2,1,c:4,f:2,,
3,3,c:5,f:4,,
4,4,c:5,f:1,,
5,4,c:5,f:5,,
6,4,c:5,f:6,,
7,4,c:5,f:3181,,
8,5,c:7299,f:3,,
9,6,c:9,f:6,,
10,7,c:9,f:7,,
11,8,c:13,f:29,,
12,9,c:14,f:48,,
13,9,c:14,f:83,,
14,11,c:15,f:14,,
15,12,c:16,f:8,,
16,12,c:16,f:10,,
17,12,c:16,f:11,,
18,12,c:16,f:1262,,
19,13,c:16,f:12,,
20,13,c:16,f:10,,
21,13,c:16,f:11,,
22,14,c:15,f:14,,
23,14,c:15,f:13,,
24,16,c:18,f:636,,
25,16,c:18,f:62,,
26,18,c:22,f:16,,
27,19,c:23,f:17,,
28,19,c:23,f:18,,
29,20,c:27,f:17,,
30,20,c:27,f:3181,,
31,21,c:27,f:17,,
32,21,c:27,f:728,,
33,21,c:27,f:1080,,
34,22,c:30,f:23,,
35,22,c:30,f:6,,
36,22,c:30,f:168,,
37,23,c:31,f:24,,
38,23,c:31,f:26,,
39,23,c:31,f:25,,
40,24,c:31,f:26,,
41,27,c:34,f:127,,
42,27,c:34,f:67,,
43,28,c:34,f:127,,
44,28,c:34,f:67,,
45,29,c:27,f:17,,
46,29,c:27,f:1080,,
47,30,c:27,f:262,,
48,31,c:35,f:29,,
49,31,c:35,f:18,,
50,31,c:35,f:30,,
51,31,c:35,f:31,,
52,32,c:38,f:32,,
53,32,c:38,f:26,,
54,32,c:38,f:242,,
55,33,c:40,f:34,,
56,33,c:40,f:35,,
57,34,c:40,f:421,,
58,34,c:40,f:36,,
59,34,c:40,f:37,,
60,34,c:40,f:34,,
61,35,c:43,f:12,,
62,36,c:44,f:36,,
63,36,c:44,f:1287,,
64,37,c:44,f:29,,
65,37,c:44,f:38,,
66,37,c:44,f:1396,,
67,38,c:44,f:38,,
68,39,c:53,f:41,,
69,40,c:53,f:42,,
70,41,c:46,f:44,,
71,41,c:46,f:43,,
72,43,c:54,f:31,,
73,44,c:54,f:31,,
74,44,c:54,f:45,,
75,45,c:58,f:48,,
76,45,c:58,f:46,,
77,45,c:58,f:5,,
78,45,c:58,f:2,,
79,45,c:58,f:262,,
80,46,c:58,f:4,,
81,46,c:58,f:48,,
82,47,c:58,f:4,,
83,47,c:58,f:48,,
84,47,c:58,f:46,,
